file,geographic_coverage,possible_issue,evidence_categories,mime_type,thumbnail_http_status,commons_file_page
2015 Critérium du Dauphiné map.svg,regions of France,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:2015_Crit%C3%A9rium_du_Dauphin%C3%A9_map.svg
51.00.00 Bali.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.00.00_Bali.svg
51.01.00 Bali Jembrana.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.01.00_Bali_Jembrana.svg
51.02.00 Bali Tabanan.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.02.00_Bali_Tabanan.svg
51.03.00 Bali Badung.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.03.00_Bali_Badung.svg
51.04.00 Bali Gianyar.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.04.00_Bali_Gianyar.svg
51.05.00 Bali Klungkung.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.05.00_Bali_Klungkung.svg
51.06.00 Bali Bangli.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.06.00_Bali_Bangli.svg
51.07.00 Bali Karangasem.svg,Karangasem Regency,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.07.00_Bali_Karangasem.svg
51.08.00 Bali Buleleng.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.08.00_Bali_Buleleng.svg
51.71.00 Bali Denpasar.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.71.00_Bali_Denpasar.svg
A large blank world map with oceans marked in blue mapamundi en blanco.svg,the world without Antarctica,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:A_large_blank_world_map_with_oceans_marked_in_blue_mapamundi_en_blanco.svg
A large blank world map with oceans marked in blue planisferio en blanco.svg,the world with national borders,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:A_large_blank_world_map_with_oceans_marked_in_blue_planisferio_en_blanco.svg
Abaúj-Torna vármegye in Hungary.svg,"Abaúj-Torna vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aba%C3%BAj-Torna_v%C3%A1rmegye_in_Hungary.svg
Abisko national park map-fr.svg,Sweden,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abisko_national_park_map-fr.svg
Abkhazia in Asia (-mini map -rivers).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(-mini_map_-rivers).svg
Abkhazia in Asia (relief) (-mini map).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief)_(-mini_map).svg
Abkhazia in Asia (relief) (special marker) (-mini marker).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief)_(special_marker)_(-mini_marker).svg
Abkhazia in Asia (relief).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief).svg
Abkhazia in Asia.svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia.svg
Abkhazia in Europe (blue marble) (de-facto) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(blue_marble)_(de-facto)_(-mini_map).svg
Abkhazia in Europe (de-facto) (-rivers -mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(de-facto)_(-rivers_-mini_map).svg
Abkhazia in Europe (de-facto).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(de-facto).svg
Abkhazia in Europe (natural) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(natural)_(-mini_map).svg
Abkhazia in Europe (natural).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(natural).svg
Abkhazia in Europe (relief) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(relief)_(-mini_map).svg
Abkhazia in Europe (relief).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(relief).svg
Abkhazia in Georgia (Georgian view).svg,"Abkhazia, Georgia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Georgia_(Georgian_view).svg
Abkhazia in its region (less biased).svg,"Abkhazia, its region (less biased), Georgia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_its_region_(less_biased).svg
Abkhazia map-es.svg,Abkhazia,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_map-es.svg
Abruzzo in Italy.svg,"Abruzzo, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abruzzo_in_Italy.svg
Adazi in Latvia.svg,"Adazi, Latvia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Latvia,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Adazi_in_Latvia.svg
Adelie Land in Antarctica.svg,"Adelie Land, Antarctica",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Adelie_Land_in_Antarctica.svg
Administrative areas of New Brunswick topographic map-blank.svg,North America,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Administrative_areas_of_New_Brunswick_topographic_map-blank.svg
Administrative areas of New Brunswick with First Nations land topographic map-blank.svg,North America,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Administrative_areas_of_New_Brunswick_with_First_Nations_land_topographic_map-blank.svg
Afghanistan in Asia (-mini map -rivers).svg,"Afghanistan, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_Asia_(-mini_map_-rivers).svg
Afghanistan in Asia.svg,"Afghanistan, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_Asia.svg
Afghanistan in its region.svg,Afghanistan,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg
Afghanistan in the world (W3).svg,"Afghanistan, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_the_world_(W3).svg
Africa in the world (grey) (W3).svg,"Africa, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(grey)_(W3).svg
Africa in the World (grey).svg,"Africa, the World",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_World_(grey).svg
Africa in the world (red) (W3).svg,"Africa, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(red)_(W3).svg
Africa in the world (yellow) (W3).svg,"Africa, the world (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(yellow)_(W3).svg
Africa in the World (yellow).svg,"Africa, the World (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_World_(yellow).svg
Afro-Eurasia in the world (grey) (W3).svg,"Afro-Eurasia, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afro-Eurasia_in_the_world_(grey)_(W3).svg
Afro-Eurasia in the World (grey).svg,"Afro-Eurasia, the World",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afro-Eurasia_in_the_World_(grey).svg
Afro-Eurasia in the World (red).svg,"Afro-Eurasia, the World",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afro-Eurasia_in_the_World_(red).svg
Afro-Eurasia in the world (yellow) (W3).svg,"Afro-Eurasia, the world (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afro-Eurasia_in_the_world_(yellow)_(W3).svg
Afro-Eurasia in the World (yellow).svg,"Afro-Eurasia, the World (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afro-Eurasia_in_the_World_(yellow).svg
Aichi in Japan (extended).svg,"Aichi, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aichi_in_Japan_(extended).svg
Aichi in Japan (narrow).svg,"Aichi, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aichi_in_Japan_(narrow).svg
Aichi in Japan.svg,"Aichi, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aichi_in_Japan.svg
Akita in Japan (extended).svg,"Akita, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Akita_in_Japan_(extended).svg
Akita in Japan (narrow).svg,"Akita, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Akita_in_Japan_(narrow).svg
Akita in Japan.svg,"Akita, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Akita_in_Japan.svg
Akrotiri and Dhekelia in its region (de-facto).svg,Akrotiri and Dhekelia,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Akrotiri_and_Dhekelia_in_its_region_(de-facto).svg
Al Daayen in Qatar.svg,"Al Daayen, Qatar",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al_Daayen_in_Qatar.svg
Al Khor in Qatar.svg,"Al Khor, Qatar",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al_Khor_in_Qatar.svg
Al Rayyan in Qatar.svg,"Al Rayyan, Qatar",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al_Rayyan_in_Qatar.svg
Al Shamal in Qatar.svg,"Al Shamal, Qatar",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al_Shamal_in_Qatar.svg
Al Wakra in Qatar.svg,"Al Wakra, Qatar",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al_Wakra_in_Qatar.svg
Al-Basrah in Iraq.svg,"Al-Basrah, Iraq",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Al-Basrah_in_Iraq.svg
Alabama in United States (US48).svg,"Alabama, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alabama_in_United_States_(US48).svg
Alaska in United States (US50) (+grid) (W3).svg,"Alaska, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alaska_in_United_States_(US50)_(%2Bgrid)_(W3).svg
Alaska in United States (US50) (-grid).svg,"Alaska, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alaska_in_United_States_(US50)_(-grid).svg
Alaska in United States (US50).svg,"Alaska, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alaska_in_United_States_(US50).svg
Albania in Europe (natural) (-mini map).svg,"Albania, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_in_Europe_(natural)_(-mini_map).svg
Albania in Europe (natural).svg,"Albania, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_in_Europe_(natural).svg
Albania in Europe (relief) (-mini map).svg,"Albania, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_in_Europe_(relief)_(-mini_map).svg
Albania in Europe (relief).svg,"Albania, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_in_Europe_(relief).svg
Albania in the world (W3).svg,"Albania, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_in_the_world_(W3).svg
Albania map-ce.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-ce.svg
Albania map-de.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-de.svg
Albania map-en.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-en.svg
Albania map-fr.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-fr.svg
Albania map-it.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-it.svg
Albania map-mk.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-mk.svg
Albania map-ru.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-ru.svg
Albania map-sq.svg,Albania,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Albania_map-sq.svg
Aleppo in Syria (+Golan hatched).svg,"Aleppo, Syria (+Golan hatched)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aleppo_in_Syria_(%2BGolan_hatched).svg
Aleppo in Syria (+Golan light grey).svg,"Aleppo, Syria (+Golan light grey)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aleppo_in_Syria_(%2BGolan_light_grey).svg
Aleppo in Syria (+Golan).svg,"Aleppo, Syria (+Golan)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aleppo_in_Syria_(%2BGolan).svg
Aleppo in Syria.svg,"Aleppo, Syria",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aleppo_in_Syria.svg
Alessandria in Italy.svg,"Alessandria, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alessandria_in_Italy.svg
Alluri Sitharama Raju in Andhra Pradesh (India).svg,"Alluri Sitharama Raju, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alluri_Sitharama_Raju_in_Andhra_Pradesh_(India).svg
Alsace Lorraine departments evolution map-en.svg,former departments of France,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Alsace_Lorraine_departments_evolution_map-en.svg
Alsó-Fehér vármegye in Hungary.svg,"Alsó-Fehér vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Als%C3%B3-Feh%C3%A9r_v%C3%A1rmegye_in_Hungary.svg
Amazonas in Venezuela (+claimed).svg,"Amazonas, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Amazonas_in_Venezuela_(%2Bclaimed).svg
Amazonas in Venezuela.svg,"Amazonas, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Amazonas_in_Venezuela.svg
An Giang in Viet Nam.svg,"An Giang, Viet Nam",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:An_Giang_in_Viet_Nam.svg
An Giang in Vietnam before 1 July 2025.svg,"An Giang, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:An_Giang_in_Vietnam_before_1_July_2025.svg
Anakapalli in Andhra Pradesh (India).svg,"Anakapalli, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anakapalli_in_Andhra_Pradesh_(India).svg
Anantapur in Andhra Pradesh (India).svg,"Anantapur, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anantapur_in_Andhra_Pradesh_(India).svg
Ancona in Italy.svg,"Ancona, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ancona_in_Italy.svg
Andalucia in Spain (including Canarias) (special marker).svg,"Andalucia, Spain (including Canarias)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Andalucia_in_Spain_(including_Canarias)_(special_marker).svg
Andalucia in Spain (special marker).svg,"Andalucia, Spain",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Andalucia_in_Spain_(special_marker).svg
Andorra in Europe (zoomed).svg,"Andorra, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Andorra_in_Europe_(zoomed).svg
Anglesey in Wales.svg,"Anglesey, Wales",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Wales,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anglesey_in_Wales.svg
Anhwei in Republic of China.svg,"Anhwei, Republic of China",Commons category reports broken file links,Category:Files with broken file links,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anhwei_in_Republic_of_China.svg
Annamayya in Andhra Pradesh (India).svg,"Annamayya, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Annamayya_in_Andhra_Pradesh_(India).svg
Antung in Republic of China.svg,"Antung, Republic of China",Commons category reports broken file links,Category:Files with broken file links,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Antung_in_Republic_of_China.svg
Anzoategui in Venezuela (+claimed).svg,"Anzoategui, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anzoategui_in_Venezuela_(%2Bclaimed).svg
Anzoategui in Venezuela.svg,"Anzoategui, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Anzoategui_in_Venezuela.svg
Aomori in Japan (extended).svg,"Aomori, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aomori_in_Japan_(extended).svg
Aomori in Japan (narrow).svg,"Aomori, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aomori_in_Japan_(narrow).svg
Aomori in Japan.svg,"Aomori, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aomori_in_Japan.svg
Aosta Valley in Italy.svg,"Aosta Valley, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aosta_Valley_in_Italy.svg
Aoste in Italy.svg,"Aoste, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aoste_in_Italy.svg
Apartheid South Africa with Nominally independent Bantustans (orthographic projection).svg,former countries of Africa,Commons category marks SVG as invalid,Category:Invalid SVG,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Apartheid_South_Africa_with_Nominally_independent_Bantustans_(orthographic_projection).svg
Apulia in Italy.svg,"Apulia, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Apulia_in_Italy.svg
Apure in Venezuela (+claimed).svg,"Apure, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Apure_in_Venezuela_(%2Bclaimed).svg
Apure in Venezuela.svg,"Apure, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Apure_in_Venezuela.svg
Arad vármegye in Hungary.svg,"Arad vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Arad_v%C3%A1rmegye_in_Hungary.svg
Aragua in Venezuela (+claimed).svg,"Aragua, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aragua_in_Venezuela_(%2Bclaimed).svg
Aragua in Venezuela.svg,"Aragua, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aragua_in_Venezuela.svg
Arezzo in Italy.svg,"Arezzo, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Arezzo_in_Italy.svg
