file,geographic_coverage,possible_issue,evidence_categories,mime_type,thumbnail_http_status,commons_file_page
Monza e Brianza in Italy.svg,"Monza e Brianza, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Monza_e_Brianza_in_Italy.svg
Morocco on the globe (claimed + de-facto hatched) (Africa centered).svg,"Morocco, Africa",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Morocco_on_the_globe_(claimed_%2B_de-facto_hatched)_(Africa_centered).svg
Morocco on the globe (claimed hatched) (Africa centered).svg,"Morocco, Africa",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Morocco_on_the_globe_(claimed_hatched)_(Africa_centered).svg
Morocco on the globe (claimed) (Africa centered).svg,"Morocco, Africa",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Morocco_on_the_globe_(claimed)_(Africa_centered).svg
Morocco on the globe (undisputed) (Africa centered).svg,Morocco,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Morocco_on_the_globe_(undisputed)_(Africa_centered).svg
Moson vármegye in Hungary.svg,"Moson vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Moson_v%C3%A1rmegye_in_Hungary.svg
Mountain ranges of France map-fr.svg,mountain ranges of France,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Mountain_ranges_of_France_map-fr.svg
Mozambique on the globe (Africa centered).svg,Mozambique,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Mozambique_on_the_globe_(Africa_centered).svg
Máramaros vármegye in Hungary.svg,"Máramaros vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:M%C3%A1ramaros_v%C3%A1rmegye_in_Hungary.svg
Nagano in Japan (extended).svg,"Nagano, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagano_in_Japan_(extended).svg
Nagano in Japan (narrow).svg,"Nagano, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagano_in_Japan_(narrow).svg
Nagano in Japan.svg,"Nagano, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagano_in_Japan.svg
Nagasaki in Japan (extended).svg,"Nagasaki, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagasaki_in_Japan_(extended).svg
Nagasaki in Japan (narrow).svg,"Nagasaki, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagasaki_in_Japan_(narrow).svg
Nagasaki in Japan.svg,"Nagasaki, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagasaki_in_Japan.svg
Nagy-Küküllő vármegye in Hungary.svg,"Nagy-Küküllő vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nagy-K%C3%BCk%C3%BCll%C5%91_v%C3%A1rmegye_in_Hungary.svg
Nam Dinh in Vietnam before 1 July 2025.svg,"Nam Dinh, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nam_Dinh_in_Vietnam_before_1_July_2025.svg
Nampula in Mozambique.svg,"Nampula, Mozambique",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nampula_in_Mozambique.svg
Nandyal in Andhra Pradesh (India).svg,"Nandyal, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nandyal_in_Andhra_Pradesh_(India).svg
Napoli in Italy.svg,"Napoli, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Napoli_in_Italy.svg
Nara in Japan (extended).svg,"Nara, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nara_in_Japan_(extended).svg
Nara in Japan (narrow).svg,"Nara, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nara_in_Japan_(narrow).svg
Nara in Japan.svg,"Nara, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nara_in_Japan.svg
Neath Port Talbot in Wales.svg,"Neath Port Talbot, Wales",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Wales,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Neath_Port_Talbot_in_Wales.svg
Nebraska in United States (US48).svg,"Nebraska, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nebraska_in_United_States_(US48).svg
Nebraska in United States.svg,"Nebraska, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nebraska_in_United_States.svg
Nelson in New Zealand (special marker).svg,"Nelson, New Zealand",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nelson_in_New_Zealand_(special_marker).svg
Nelson in New Zealand.svg,"Nelson, New Zealand",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nelson_in_New_Zealand.svg
Nevada in United States (US48).svg,"Nevada, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nevada_in_United_States_(US48).svg
Nevada in United States.svg,"Nevada, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nevada_in_United_States.svg
New Caledonia in its region (special marker).svg,New Caledonia,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Caledonia_in_its_region_(special_marker).svg
New Caledonia on the globe (Oceania centered).svg,"New Caledonia, France",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Caledonia_on_the_globe_(Oceania_centered).svg
New Hampshire in United States (US48).svg,"New Hampshire, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Hampshire_in_United_States_(US48).svg
