finding_type,file_a,file_b,geographic_coverage,evidence
matching normalized filename and similar aspect ratio (review visually),Brazil Israel Locator.svg,Israel Brazil Locator.svg,israel,shared normalized name key “brazil israel locator”; relative aspect-ratio difference 3.1%
matching normalized filename and similar aspect ratio (review visually),Canar in Ecuador (+Galapagos).svg,Canar in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “canar ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Carchi in Ecuador (+Galapagos).svg,Carchi in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “carchi ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Ceelafweyn district.svg,Ceelafweyn District.svg,somaliland,shared normalized name key “ceelafweyn district”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Center of America.svg,SVG map Center of America.svg,the americas,shared normalized name key “america center”; relative aspect-ratio difference 6.1%
matching normalized filename and similar aspect ratio (review visually),Central America blank map.svg,Central America.svg,central america,shared normalized name key “america central”; relative aspect-ratio difference 2.9%
matching normalized filename and similar aspect ratio (review visually),Chimborazo in Ecuador (+Galapagos).svg,Chimborazo in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “chimborazo ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),China Chongqing.svg,Map of China Chongqing.svg,china,shared normalized name key “china chongqing”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China in Asia (de-facto) (relief).svg,China in Asia (relief) (de-facto).svg,china,shared normalized name key “asia china de facto in relief”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China India locator.svg,India China locator.svg,india,shared normalized name key “china india locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China Tibet.svg,Map of China Tibet.svg,china,shared normalized name key “china tibet”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China Xinjiang.svg,Map of China Xinjiang.svg,china,shared normalized name key “china xinjiang”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China-East Germany Locator.svg,East Germany–China Locator.svg,countries (world location map scheme),shared normalized name key “china east germany locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China–Czechoslovakia Locator.svg,Czechoslovakia–China Locator.svg,countries (world location map scheme),shared normalized name key “china czechoslovakia locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China–Slovakia Locator.svg,Slovakia–China Locator.svg,countries (world location map scheme),shared normalized name key “china locator slovakia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Christmas Island in Australia (-mini map).svg,Christmas Island in Australia (mini map).svg,australia,shared normalized name key “australia christmas in island mini”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Colombia Bogotá location map.png,Colombia Bogotá location map.svg,colombia,shared normalized name key “bogot colombia location”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Colombia map.svg,Colombia svg.svg,colombia,shared normalized name key “colombia”; relative aspect-ratio difference 6.8%
matching normalized filename and similar aspect ratio (review visually),Communes of France ending with -a.svg,Communes of France ending with -é.svg,france,shared normalized name key “communes ending france”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Cotopaxi in Ecuador (+Galapagos).svg,Cotopaxi in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “cotopaxi ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Czech Republic location map blank.svg,Czech Republic location map.svg,the czech republic,shared normalized name key “czech location republic”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Czechoslovakia–Vietnam Locator.svg,Vietnam–Czechoslovakia Locator.svg,countries (world location map scheme),shared normalized name key “czechoslovakia locator vietnam”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),El Oro in Ecuador (+Galapagos).svg,El Oro in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador el galapagos in oro”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Esmeraldas in Ecuador (+Galapagos).svg,Esmeraldas in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador esmeraldas galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Eswatini Taiwan Locator.svg,Eswatini–Taiwan Locator.svg,the republic of china,shared normalized name key “eswatini locator taiwan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),EU-Greece (orthographic projection).png,EU-Greece (orthographic projection).svg,greece,shared normalized name key “eu greece orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Europe (orthographic projection).svg,Europe-Blank (orthographic projection).svg,europe,shared normalized name key “europe orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Europe Armenia.svg,Europe-Armenia.svg,armenia,shared normalized name key “armenia europe”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Falkland Islands - The Swan Islands.svg,Swan Islands - Falkland Islands.svg,the united kingdom,shared normalized name key “falkland islands islands swan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Falkland Islands - The Tyssen Islands.svg,Falkland Islands - Tyssen Islands.svg,the united kingdom,shared normalized name key “falkland islands islands tyssen”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),France Georgia locator.svg,Georgia France Locator.svg,france,shared normalized name key “france georgia locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Geologic map Armorican Massif FR.svg,Geologic map of Armorican Massif FR.png,armorican massif,shared normalized name key “armorican fr geologic massif”; relative aspect-ratio difference 1.0%
matching normalized filename and similar aspect ratio (review visually),Georgia (orthographic projection).svg,Georgia (orthographic--projection).svg,georgia,shared normalized name key “georgia orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia Lithuania locator.svg,Lithuania Georgia Locator.svg,lithuania,shared normalized name key “georgia lithuania locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia Spain Locator.svg,Spain Georgia Locator.svg,spain,shared normalized name key “georgia locator spain”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia–Mongolia Locator.svg,Mongolia–Georgia Locator.svg,countries (world location map scheme),shared normalized name key “georgia locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Germany Spain Locator.svg,Spain Germany Locator.svg,spain,shared normalized name key “germany locator spain”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ghana in its region.png,Ghana in its region.svg,ghana,shared normalized name key “ghana in its region”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Gilgit-Baltistan in Pakistan (de-facto + glacier claims) (disputed hatched).svg,Gilgit-Baltistan in Pakistan (de-facto + glacier claims)) (disputed hatched).svg,pakistan,shared normalized name key “baltistan claims de disputed facto gilgit glacier hatched in pakistan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Guayas in Ecuador (+Galapagos).svg,Guayas in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos guayas in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Hawaii in United States (US50) (+grid) (W3).svg,Hawaii in United States (US50) (-grid) (W3).svg,the united states,shared normalized name key “grid hawaii in states united us50 w3”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Hawaii in United States (US50) (+grid) (zoom) (W3).svg,Hawaii in United States (US50) (-grid) (zoom) (W3).svg,the united states,shared normalized name key “grid hawaii in states united us50 w3 zoom”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Hà Trung in Thanh Hóa province.svg,Trung Hạ in Thanh Hóa province.svg,vietnam,shared normalized name key “h h in province thanh trung”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Imbabura in Ecuador (+Galapagos).svg,Imbabura in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos imbabura in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),India Israel Locator.svg,Israel india locator.svg,israel,shared normalized name key “india israel locator”; relative aspect-ratio difference 3.1%
matching normalized filename and similar aspect ratio (review visually),India–New Zealand Locator.svg,New Zealand India Locator.svg,india,shared normalized name key “india locator new zealand”; relative aspect-ratio difference 0.3%
matching normalized filename and similar aspect ratio (review visually),India–Pakistan Locator.svg,Pakistan-India Locator.svg,india,shared normalized name key “india locator pakistan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Indonesia–Trinidad and Tobago Locator.svg,Trinidad and Tobago–Indonesia Locator.svg,countries (world location map scheme),shared normalized name key “indonesia locator tobago trinidad”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ireland–Mongolia Locator.svg,Mongolia–Ireland Locator.svg,countries (world location map scheme),shared normalized name key “ireland locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ireland–Taiwan Locator.svg,Taiwan–Ireland Locator.svg,countries (world location map scheme),shared normalized name key “ireland locator taiwan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Israel South Korea Locator.svg,Israel South Korea locator.svg,south korea,shared normalized name key “israel korea locator south”; relative aspect-ratio difference 3.1%
matching normalized filename and similar aspect ratio (review visually),Israel Venezuela Locator.svg,Venezuela Israel Locator.svg,israel,shared normalized name key “israel locator venezuela”; relative aspect-ratio difference 3.1%
matching normalized filename and similar aspect ratio (review visually),Italian provinces (1992).svg,Map of Italian provinces (1992).svg,italy,shared normalized name key “1992 italian provinces”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Italy blank.svg,Italy map-blank.svg,italy,shared normalized name key “italy”; relative aspect-ratio difference 4.3%
matching normalized filename and similar aspect ratio (review visually),Italy blank.svg,Map of Italy blank.svg,italy,shared normalized name key “italy”; relative aspect-ratio difference 5.7%
matching normalized filename and similar aspect ratio (review visually),Italy map-blank.svg,Map of Italy blank.svg,italy,shared normalized name key “italy”; relative aspect-ratio difference 1.4%
matching normalized filename and similar aspect ratio (review visually),Italy map with regions.svg,Italy Regions Blank.svg,italy,shared normalized name key “italy regions”; relative aspect-ratio difference 5.6%
matching normalized filename and similar aspect ratio (review visually),Italy map with regions.svg,Regions of Italy.svg,italy,shared normalized name key “italy regions”; relative aspect-ratio difference 6.8%
matching normalized filename and similar aspect ratio (review visually),Japan Venezuela Locator.svg,Venezuela Japan Locator.svg,japan,shared normalized name key “japan locator venezuela”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Japan–Lithuania Locator.svg,Lithuania–Japan Locator.svg,countries (world location map scheme),shared normalized name key “japan lithuania locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Japan–Mongolia Locator.svg,Mongolia–Japan Locator.svg,countries (world location map scheme),shared normalized name key “japan locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Kazakhstan–Mongolia Locator.svg,Mongolia–Kazakhstan Locator.svg,countries (world location map scheme),shared normalized name key “kazakhstan locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Kazakhstan–Thailand Locator.svg,Thailand–Kazakhstan Locator.svg,countries (world location map scheme),shared normalized name key “kazakhstan locator thailand”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Lankaran City in Azerbaijan.svg,Lankaran city in Azerbaijan.svg,azerbaijan,shared normalized name key “azerbaijan city in lankaran”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Laos Vientiane prefecture.svg,Vientiane Prefecture-Laos.svg,laos,shared normalized name key “laos prefecture vientiane”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Laos Vientiane province.svg,Vientiane Province-Laos.svg,laos,shared normalized name key “laos province vientiane”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Life of Orpheus Greek Mythology - (Български).svg,Life of Orpheus Greek Mythology.svg,greek mythology,shared normalized name key “greek life mythology orpheus”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Lithuania–Mongolia Locator.svg,Mongolia–Lithuania Locator.svg,countries (world location map scheme),shared normalized name key “lithuania locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Location map of Russia.svg,Location Russia.svg,russia,shared normalized name key “location russia”; relative aspect-ratio difference 7.7%
matching normalized filename and similar aspect ratio (review visually),Location of Russia.svg,Location Russia.svg,russia,shared normalized name key “location russia”; relative aspect-ratio difference 1.5%
matching normalized filename and similar aspect ratio (review visually),Location Monastyrshchinsky District Smolensk Oblast A.svg,Location Monastyrshchinsky District Smolensk Oblast.svg,russia,shared normalized name key “district location monastyrshchinsky oblast smolensk”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Location Roslavlsky District Smolensk Oblast A.svg,Location Roslavlsky District Smolensk Oblast.svg,russia,shared normalized name key “district location oblast roslavlsky smolensk”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Location San Marino Europe.svg,San Marino Europe Location.svg,san marino,shared normalized name key “europe location marino san”; relative aspect-ratio difference 5.6%
matching normalized filename and similar aspect ratio (review visually),Locator map A in Bavaria.svg,Locator map AÖ in Bavaria.svg,germany,shared normalized name key “bavaria in locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map A in Germany.svg,Locator map AÖ in Germany.svg,germany,shared normalized name key “germany in locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map A in Germany.svg,Locator map OF in Germany.svg,germany,shared normalized name key “germany in locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map AÖ in Germany.svg,Locator map OF in Germany.svg,germany,shared normalized name key “germany in locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map GÖ in Germany.svg,Locator map GÜ in Germany.svg,germany,shared normalized name key “g germany in locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map L in Germany.svg,Locator map LÖ in Germany.svg,germany,shared normalized name key “germany in l locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map M in Bavaria.svg,Locator map MÜ in Bavaria.svg,germany,shared normalized name key “bavaria in locator m”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map M in Germany.svg,Locator map MÜ in Germany.svg,germany,shared normalized name key “germany in locator m”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Sri Lanka Locator.svg,Sri Lanka-locator-map.svg,sri lanka,shared normalized name key “lanka locator sri”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Locator map W in Germany.svg,Locator map WÜ in Germany.svg,germany,shared normalized name key “germany in locator w”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Loja in Ecuador (+Galapagos).svg,Loja in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in loja”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Los Rios in Ecuador (+Galapagos).svg,Los Rios in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in los rios”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Malaysia–Trinidad and Tobago Locator.svg,Trinidad and Tobago–Malaysia Locator.svg,countries (world location map scheme),shared normalized name key “locator malaysia tobago trinidad”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Manabi in Ecuador (+Galapagos).svg,Manabi in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in manabi”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Map Portugal.svg,Portugal blank map.svg,portugal,shared normalized name key “portugal”; relative aspect-ratio difference 6.3%
matching normalized filename and similar aspect ratio (review visually),Mexico geoloc blank.svg,Mexico geoloc.svg,mexico,shared normalized name key “geoloc mexico”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Mongolia–Romania Locator.svg,Romania–Mongolia Locator.svg,countries (world location map scheme),shared normalized name key “locator mongolia romania”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Mongolia–Switzerland Locator.svg,Switzerland–Mongolia Locator.svg,countries (world location map scheme),shared normalized name key “locator mongolia switzerland”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Morocco (orthographic projection).svg,Morocco map (orthographic projection).png,morocco,shared normalized name key “morocco orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Morocco on the globe (de-facto + claimed hatched) (Cape Verde centered).svg,Morocco on the globe (de-facto and claimed hatched) (Cape Verde centered).svg,morocco,shared normalized name key “cape centered claimed de facto globe hatched morocco on verde”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Morocco–Netherlands Locator.svg,Netherlands–Morocco Locator.svg,countries (world location map scheme),shared normalized name key “locator morocco netherlands”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Morona Santiago in Ecuador (+Galapagos).svg,Morona Santiago in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in morona santiago”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Municipalities of Provisional Administrative-Territorial Unit of South Ossetia.svg,Provisional Administrative-Territorial Unit of South Ossetia (Municipalities).svg,georgia,shared normalized name key “administrative municipalities ossetia provisional south territorial unit”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Nakhchivan City in Azerbaijan.svg,Nakhchivan city in Azerbaijan.svg,azerbaijan,shared normalized name key “azerbaijan city in nakhchivan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Napo in Ecuador (+Galapagos).svg,Napo in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in napo”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Orellana in Ecuador (+Galapagos).svg,Orellana in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in orellana”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Pannonian Basin geographic map blank.svg,Pannonian Basin geographic map.svg,the danube watercourse system,shared normalized name key “basin geographic pannonian”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Pastaza in Ecuador (+Galapagos).svg,Pastaza in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in pastaza”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Ph locator dinagat islands.svg,Ph locator map dinagat islands.png,the philippines,shared normalized name key “dinagat islands locator ph”; relative aspect-ratio difference 0.9%
matching normalized filename and similar aspect ratio (review visually),Physical Map of Georgia (en).svg,Physical map of Georgia (en).svg,georgia,shared normalized name key “en georgia physical”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Pichincha in Ecuador (+Galapagos).svg,Pichincha in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in pichincha”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Provinces of Laos.svg,Provinces-Laos.svg,laos,shared normalized name key “laos provinces”; relative aspect-ratio difference 0.0%
