finding_type,file_a,file_b,geographic_coverage,evidence
matching normalized filename and similar aspect ratio (review visually),Provincia de Mendoza (Argentina) - svg.svg,Provincia de Mendoza (Argentina).svg,argentina,shared normalized name key “argentina de mendoza provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Misiones (Argentina) - svg.svg,Provincia de Misiones (Argentina).svg,argentina,shared normalized name key “argentina de misiones provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Salta (Argentina) - svg.svg,Provincia de Salta (Argentina).svg,argentina,shared normalized name key “argentina de provincia salta”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de San Juan (Argentina) - svg.svg,Provincia de San Juan (Argentina).svg,argentina,shared normalized name key “argentina de juan provincia san”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de San Luis (Argentina) - svg.svg,Provincia de San Luis (Argentina).svg,argentina,shared normalized name key “argentina de luis provincia san”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Santa Cruz (Argentina) - svg.svg,Provincia de Santa Cruz (Argentina).svg,argentina,shared normalized name key “argentina cruz de provincia santa”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Santa Fe (Argentina) - svg.svg,Provincia de Santa Fe (Argentina).svg,argentina,shared normalized name key “argentina de fe provincia santa”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Santiago del Estero (Argentina) - svg.svg,Provincia de Santiago del Estero (Argentina).svg,argentina,shared normalized name key “argentina de del estero provincia santiago”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Tucumán (Argentina) - svg.svg,Provincia de Tucumán (Argentina).svg,argentina,shared normalized name key “argentina de n provincia tucum”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia del Chaco (Argentina).png,Provincia del Chaco (Argentina).svg,argentina,shared normalized name key “argentina chaco del provincia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Romania–Soviet Union Locator.svg,Soviet Union–Romania Locator.svg,countries (world location map scheme),shared normalized name key “locator romania soviet union”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ross Dependency in New Zealand (+grid) (hatched).svg,Ross Dependency in New Zealand (-grid) (hatched).svg,new zealand,shared normalized name key “dependency grid hatched in new ross zealand”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ross Dependency in New Zealand (+grid).svg,Ross Dependency in New Zealand (-grid).svg,new zealand,shared normalized name key “dependency grid in new ross zealand”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Santa Elena in Ecuador (+Galapagos).svg,Santa Elena in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador elena galapagos in santa”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Santo Domingo de los Tsachilas in Ecuador (+Galapagos).svg,Santo Domingo de los Tsachilas in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “de domingo ecuador galapagos in los santo tsachilas”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Shaki city in Azerbaijan.svg,Shaki City in Azerbaijan.svg,azerbaijan,shared normalized name key “azerbaijan city in shaki”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Singapore–Switzerland Locator.svg,Switzerland–Singapore Locator.svg,countries (world location map scheme),shared normalized name key “locator singapore switzerland”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Sonsorol State map.png,Sonsorol State.svg,palau,shared normalized name key “sonsorol state”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),South Korea–West Germany Locator.svg,West Germany–South Korea Locator.svg,countries (world location map scheme),shared normalized name key “germany korea locator south west”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Soviet Union–Yugoslavia Locator.svg,Yugoslavia–Soviet Union Locator.svg,countries (world location map scheme),shared normalized name key “locator soviet union yugoslavia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Sucumbios in Ecuador (+Galapagos).svg,Sucumbios in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in sucumbios”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Tungurahua in Ecuador (+Galapagos).svg,Tungurahua in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos in tungurahua”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Vaud in Switzerland.png,Vaud in Switzerland.svg,switzerland,shared normalized name key “in switzerland vaud”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Vietnam ( orthographic projection ).svg,Vietnam (orthographic projection).svg,vietnam,shared normalized name key “orthographic projection vietnam”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Western Bahr el Ghazal in South Sudan (+claims) (+Kafia Kingi).svg,Western Bahr el Ghazal in South Sudan (-claims) (+Kafia Kingi).svg,south sudan,shared normalized name key “bahr claims el ghazal in kafia kingi south sudan western”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),World map nations.svg,World map with nations.svg,the world with cylindrical projection,shared normalized name key “nations world”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),World98+.svg,World98.svg,the world with cylindrical projection,shared normalized name key “world98”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Yevlakh city in Azerbaijan.svg,Yevlakh City in Azerbaijan.svg,azerbaijan,shared normalized name key “azerbaijan city in yevlakh”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Zamora-Chinchipe in Ecuador (+Galapagos).svg,Zamora-Chinchipe in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “chinchipe ecuador galapagos in zamora”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Đông Tiến in Thanh Hóa province.svg,Đồng Tiến in Thanh Hóa province.svg,vietnam,shared normalized name key “h in n ng province thanh ti”; relative aspect-ratio difference 0.0%
